address_id,address_query,address_query_length
1,"10/274 harbour drive, coffs harbour NSW 2450",44
2,"9/274 harbour drive, coffs harbour NSW 2450",43
3,"8/274 harbour drive, coffs harbour NSW 2450",43
4,hahaha,6
5,"Unit 56, Level C, 12 Limburg Way, GREENWAY ACT 2900",51
6,"11 Esplanade, SNUG TAS 7054",27
7,"11 Esplanade, BALGOWAN SA 5573",30
8,"11 Esplanade, BARGARA QLD 4670",30
9,"11 Esplanade, SORRENTO VIC 3943",31
10,"11 The Esplanade, MOSMAN NSW 2088",33
11,"11 The Esplanade, ASCOT WA 6104",31
12,"11 Esperance Street, RED HILL ACT 2603",38
13,"11 Elliott Crescent, ELLIOTT NT 0862",36
14,"Lot 453 Birds Road, CUSHNIE QLD 4608",36
15,"Locked Bag 65, CENTRAL QUEENSLAND MC QLD 4702",45
16,"Private Bag 52, CLEVE SA 5640",29
17,"PO Box 6437, NORWEST NSW 2153",29
18,"Care PO, POTTS POINT NSW 1335",29
19,"RMS 523, NAREMBEEN WA 6369",26
20,"GPO Box 7, DARWIN NT 0801",25
21,"RSD 41, BOORT VIC 3537",22
22,"MS 80, GYMPIE QLD 4570",22
23,13/5-15C LAMOND Drive TURRAMURRA 2074,37
24,1305/52-58 PARK Street SOUTH MELBOURNE 3205,43
25,"1402-1600 Greigs Road, STRATHTULLOH, Victoria 3338",50
26,"Unit 2/35 Frances St, CASINO, Victoria, 3556",44
27,"Unit 2/35 Frances St, EAGLEHAWK, Victoria, 3556",47
28,"U 17/12-16 Foyle Rd., MELBOURNE, Victoria, 3000",47
29,"BELLARAH STATION 1279 WEST CULGOA RD , NORTH BOURKE NSW 2840",60
30,"MOPONE STATION %26 MARGARET VALE 1087 KIDMAN WAY , COBAR NSW 2835",65
31,"LONGWORTH COTTAGE 11A BLAKEY ST , COBAR NSW 2835",48
32,"CROCODILE CARAVAN AND CAMPING PARK UNIT 3 5 MORILLA ST , LIGHTNING RIDGE NSW 2834",81
33,"BULLAROON STATION 1718 TWIN RIVERS RD , NORTH BOURKE NSW 2840",61
34,"NOWLEY WEST 942 FAIRVIEW RD , NOWLEY NSW 2386",45
35,"NECKARBO %26 BEECHWORTH STATION 2611 NECKARBO RD , BULLA NSW 2835",65
36,"PT MENA MURTEE STATION 1685 OPAL MINERS WAY , WILCANNIA NSW 2836",64
37,"WILGA DOWNS 4656 TOORAWEENAH RD , MOUNT TENANDRA NSW 2828",57
38,"BELLARAH STATION 799 TWIN RIVERS RD , NORTH BOURKE NSW 2840",59
39,"TOOLOON SOUTH 488 TOOLOON SOUTH RD , TOOLOON NSW 2829",53
40,"ALICE EDWARDS VILLAGE 5 PARKDALE RD , BOURKE NSW 2840",53
